soma_jogador,carta_dealer,as_utilizavel,q_hit,q_stick,melhor_acao
4,1,0,-0.46093041396065443,-0.5217031000000001,hit
4,2,0,-0.11015613544139514,-0.19,hit
4,3,0,-0.19561754286039473,-0.271,hit
4,4,0,-0.11980946551265809,-0.271,hit
4,5,0,-0.06601296682711563,-0.14005765822257102,hit
4,6,0,-0.022079086811630906,-0.19,hit
4,7,0,0.008739061360290892,-0.1,hit
4,8,0,-0.2868682729218287,-0.34390000000000004,hit
4,9,0,-0.3400508732650199,-0.39139186411,hit
4,10,0,-0.3142413590403837,-0.55496940391,hit
5,1,0,-0.4643488561162369,-0.6125795110000001,hit
5,2,0,-0.17660574152126834,-0.350461,hit
5,3,0,-0.09155003986793313,-0.35204534371900004,hit
5,4,0,-0.09112993031664739,-0.1574529162960132,hit
5,5,0,-0.022950906443344757,-0.47243202391000005,hit
5,6,0,0.049900408364845064,-0.26371,hit
5,7,0,-0.14779456518047374,-0.40951000000000004,hit
5,8,0,-0.07096413345520486,-0.5217031000000001,hit
5,9,0,-0.3160234045132738,-0.5652281179,hit
5,10,0,-0.34839564665472983,-0.49845300130366776,hit
6,1,0,-0.5368914002256233,-0.717570463519,hit
6,2,0,-0.2760769800120583,-0.39923335990000003,hit
6,3,0,-0.05802933896118307,-0.40870530611,hit
6,4,0,-0.19572305180632235,-0.37030850913619,hit
6,5,0,-0.01179377594388578,-0.311459761332649,hit
6,6,0,0.06539636690980292,-0.04264442867909214,hit
6,7,0,-0.19336141574356724,-0.36809140390999995,hit
6,8,0,-0.20366551678206263,-0.38953279,hit
6,9,0,-0.30579442490204783,-0.43831279000000006,hit
6,10,0,-0.4106968018757222,-0.6481743056166003,hit
7,1,0,-0.4876694095493691,-0.7712320754503901,hit
7,2,0,-0.14429454251585871,-0.510615799885351,hit
7,3,0,-0.08842457550480654,-0.43645371589000004,hit
7,4,0,-0.04777720900785119,-0.235943827176625,hit
7,5,0,0.037416777603179754,-0.23344936279577105,hit
7,6,0,0.025801632630334827,0.08298785085290002,stick
7,7,0,0.0360698904797946,-0.4961900919749953,hit
7,8,0,-0.120384592238437,-0.3650333599000001,hit
7,9,0,-0.28407363404475355,-0.5332235599,hit
7,10,0,-0.3104000161975625,-0.700151621296284,hit
8,1,0,-0.3822978088858139,-0.6629672482327007,hit
8,2,0,-0.06891762344986627,-0.23645371589,hit
8,3,0,0.03706812660852672,-0.1805718218509,hit
8,4,0,-0.022395553533574503,-0.31734560483290003,hit
8,5,0,0.010980539145182523,-0.47600770176853796,hit
8,6,0,0.12391528534484594,-0.0626174621,hit
8,7,0,0.212413833168049,-0.50241710611,hit
8,8,0,0.1482478717113666,-0.36038940390999996,hit
8,9,0,-0.2827924674663574,-0.37566217990000006,hit
8,10,0,-0.38363192863085227,-0.8759984505582084,hit
9,1,0,-0.4235038707278218,-0.6534716249025151,hit
9,2,0,-0.028196678112581513,-0.08058717332055432,hit
9,3,0,0.21956829296933358,-0.4163942381293061,hit
9,4,0,0.246886560751017,-0.24201860111481593,hit
9,5,0,0.23449783458378173,-0.061009903267504606,hit
9,6,0,0.13366728326339394,0.012711532885445659,hit
9,7,0,0.129128696915535,-0.37681186411,hit
9,8,0,0.10000642522363214,-0.10563479,hit
9,9,0,0.13204442894547896,-0.3217031,hit
9,10,0,-0.19696203200864004,-0.5248854465007564,hit
10,1,0,-0.23014112435869005,-0.5837035616323939,hit
10,2,0,0.3110061710900449,-0.2288568143163755,hit
10,3,0,0.12279037777404245,-0.361588344301,hit
10,4,0,0.40809004065724047,-0.22436636668132537,hit
10,5,0,0.19898135283505203,-0.10989075403272627,hit
10,6,0,0.07071311385642677,0.04046184039440244,hit
10,7,0,0.17709438642880124,-0.2101112574068009,hit
10,8,0,0.4203256667319424,-0.34989251492191964,hit
10,9,0,0.15159667324413245,-0.551229702085351,hit
10,10,0,-0.00574320955544165,-0.7064366275952105,hit
11,1,0,-0.2029770148852135,-0.7712320754503901,hit
11,2,0,0.15415200523409256,-0.19814265713203089,hit
11,3,0,-0.033214032815457414,-0.20767991387953913,hit
11,4,0,0.10184017323624572,-0.5184928664367544,hit
11,5,0,0.2506608643210078,-0.06833449198596414,hit
11,6,0,0.2966404108836395,-0.3050888204897641,hit
11,7,0,0.12694461412175737,-0.42229140391,hit
11,8,0,0.3419235624259056,-0.337339,hit
11,9,0,0.23375897986580652,-0.48790536470300083,hit
11,10,0,0.15368027173615034,-0.41637909126378514,hit
12,1,0,-0.5621843007735963,-0.8255788361310616,hit
12,1,1,-0.3806052491938291,-0.46855900000000006,hit
12,2,0,-0.008698771213174583,-0.4193748063534083,hit
12,2,1,0.09033613108690275,-0.19,hit
12,3,0,-0.4589059313469672,-0.7158039797630736,hit
12,3,1,0.04429680813801609,-0.19,hit
12,4,0,-0.3084982719101392,-0.6302641226860288,hit
12,4,1,0.17692553586571302,-0.10900000000000001,hit
12,5,0,-0.4886288478020454,-0.02799208089186067,stick
12,5,1,0.05762836516245507,-0.08703660151592892,hit
12,6,0,0.00772386279307917,-0.4810700917610022,hit
12,6,1,0.2136194545133194,-0.1,hit
12,7,0,-0.06738574655373356,-0.6400706860385419,hit
12,7,1,0.14848633126332147,-0.13249,hit
12,8,0,-0.5877949274503536,-0.6051013048295483,hit
12,8,1,0.240394683632472,-0.5264860690000001,hit
12,9,0,-0.6436516602322488,-0.6609507864998141,hit
12,9,1,-0.07075216770304013,-0.337339,hit
12,10,0,-0.23863610677259495,-0.6769114501880478,hit
12,10,1,-0.16957113000420657,-0.47387341000000005,hit
13,1,0,-0.6657413471084875,-0.8778844295330281,hit
13,1,1,-0.4311910388647606,-0.6125795110000001,hit
13,2,0,-0.47414042652487143,-0.7700207923981168,hit
13,2,1,0.08129417908780474,-0.37590310000000005,hit
13,3,0,-0.19088503752064429,-0.5870243067116941,hit
13,3,1,-0.10652103461893575,-0.1189755183789033,hit
13,4,0,-0.21566969035190045,-0.12378584049218035,stick
13,4,1,0.1105373814369067,-0.249466069,hit
13,5,0,-0.2851961729118794,-0.6441424901864721,hit
13,5,1,0.06459077314507541,-0.23541490000000004,hit
13,6,0,-0.6085566174016577,-0.013423631272854869,stick
13,6,1,-0.015351880125768583,-0.24751,hit
13,7,0,-0.4509766129190794,-0.5439109329692055,hit
13,7,1,0.15812255944010134,-0.19,hit
13,8,0,-0.30194515856566717,-0.6691295706792024,hit
13,8,1,0.02781943982223317,-0.29251279,hit
13,9,0,-0.396804702155158,-0.718546672462987,hit
13,9,1,0.007912504818164481,-0.3904831,hit
13,10,0,-0.5094538006070413,-0.7687152843462022,hit
13,10,1,-0.36200411811433486,-0.6530870961464088,hit
14,1,0,-0.5636733646392065,-0.9767094290911543,hit
14,1,1,-0.301810850473159,-0.5715391976658101,hit
14,2,0,-0.6418791566152043,-0.05202382738819522,stick
14,2,1,0.035931953378205164,-0.10304873236961,hit
14,3,0,-0.6753941021451203,-0.07122577297416262,stick
14,3,1,-0.029905394905245748,-0.19,hit
14,4,0,-0.2526710557446473,-0.6784737619775033,hit
14,4,1,0.10407115018501148,-0.16075900000000004,hit
14,5,0,-0.12649208863753333,-0.7169972545471102,hit
14,5,1,0.031937996277559826,-0.14275900000000002,hit
14,6,0,-0.355657216867272,-0.6519169838569817,hit
14,6,1,0.12469933603754603,-0.271,hit
14,7,0,-0.5243889970126506,-0.6533601381165622,hit
14,7,1,0.10118058351839955,-0.14390000000000003,hit
14,8,0,-0.6133836504531822,-0.7077923933271709,hit
14,8,1,-0.13162098340564907,-0.34390000000000004,hit
14,9,0,-0.6055720838357241,-0.9456198360590705,hit
14,9,1,0.035398990007724646,-0.37590310000000005,hit
14,10,0,-0.2462837929334551,-0.6639301678621825,hit
14,10,1,-0.3149346414199671,-0.501652454173337,hit
15,1,0,-0.5885977870102748,-0.9019965061065625,hit
15,1,1,-0.16846990709066548,-0.6125795110000001,hit
15,2,0,-0.48600533966462833,-0.24864934190995766,stick
15,2,1,0.01875672964212102,-0.2578051,hit
15,3,0,-0.6281178264426098,-0.0827228452060874,stick
15,3,1,0.0579656036392745,-0.271,hit
15,4,0,-0.5917496844353882,-0.26074385016491464,stick
15,4,1,0.17732876222098493,-0.10865972611000002,hit
15,5,0,-0.5152055467622149,-0.24176072225691667,stick
15,5,1,0.04504910136236622,-0.268559,hit
15,6,0,-0.6095607816483634,0.05911720767702473,stick
15,6,1,0.1837104542230584,-0.06371,hit
15,7,0,-0.13591126403919118,-0.7045228249566553,hit
15,7,1,0.028405857269919836,-0.4036051,hit
15,8,0,-0.3574947953302635,-0.764972429828755,hit
15,8,1,-0.0958633884002758,-0.5217031000000001,hit
15,9,0,-0.578923915153909,-0.628950211173938,hit
15,9,1,-0.1310401829913017,-0.430826689,hit
15,10,0,-0.2882399665006167,-0.6050617361772934,hit
15,10,1,-0.27292397770169247,-0.7148458056094309,hit
16,1,0,-0.5142049411066452,-0.9425485334059461,hit
16,1,1,-0.387721749484764,-0.6313347606091511,hit
16,2,0,-0.7261716669954416,-0.3235983132090543,stick
16,2,1,0.016850957736678544,-0.34514659000000003,hit
16,3,0,-0.42488305899687917,-0.6003783184662291,hit
16,3,1,0.024233701496937238,-0.31409760234961004,hit
16,4,0,-0.48440654447116427,-0.48793529178180495,hit
16,4,1,-0.1187641383994351,-0.19862698571900006,hit
16,5,0,-0.47933419368855545,-0.13858628967305023,stick
16,5,1,0.022822361929775364,-0.13946141809,hit
16,6,0,-0.6882946593343908,-0.20904023979226968,stick
16,6,1,-0.10441374343554714,-0.3597031,hit
16,7,0,-0.7492585876352672,-0.7834781386350476,hit
16,7,1,-0.04245546777053599,-0.32629131100000003,hit
16,8,0,-0.2021665426699933,-0.7005641043910644,hit
16,8,1,0.02653573795558343,-0.08324459,hit
16,9,0,-0.7927109076310775,-0.11535029582536635,stick
16,9,1,-0.14281153387704176,-0.46855900000000006,hit
16,10,0,-0.3933077407667971,-0.9760112447707344,hit
16,10,1,-0.34507807701541365,-0.6066088432159445,hit
17,1,0,-0.6810233158834712,-0.8833713706119023,hit
17,1,1,-0.3606213133187705,-0.6105358930618885,hit
17,2,0,-0.5601695949868011,-0.71987159289922,hit
17,2,1,0.0247191747086746,-0.40951000000000004,hit
17,3,0,-0.7283855019910731,-0.3074594817109839,stick
17,3,1,0.11025852038221463,-0.12541490000000002,hit
17,4,0,-0.6909548002237649,-0.3410272907553147,stick
17,4,1,0.03533749216301961,-0.22187341,hit
17,5,0,-0.44795992815189134,0.08229440900811075,stick
17,5,1,0.030116786141239717,-0.08575652615419,hit
17,6,0,-0.5348369255484207,-0.15593178658791693,stick
17,6,1,-0.008751249788538234,-0.05413443448122897,hit
17,7,0,-0.4688953124940982,-0.491088644660196,hit
17,7,1,0.07954398115970236,-0.2453503253025259,hit
17,8,0,-0.8078891535160804,-0.6689743761773663,stick
17,8,1,-0.0945362236906079,-0.2447734855728529,hit
17,9,0,-0.5405895310576977,-0.808099165202663,hit
17,9,1,-0.08496407253626365,-0.6513215599000001,hit
17,10,0,-0.3204099217849017,-0.791805414351022,hit
17,10,1,-0.3532684316865153,-0.5879363541737428,hit
18,1,0,-0.8833342800134909,-0.0758616363372699,stick
18,1,1,-0.41838463433236983,-0.6009826510768863,hit
18,2,0,-0.709166957141347,0.21881051995404766,stick
18,2,1,0.07136795596978608,-0.2539,hit
18,3,0,-0.5770042661000515,-0.15408963403078602,stick
18,3,1,0.19962655161928203,-0.22765067339791223,hit
18,4,0,-0.6727918326421509,-0.11588315637408167,stick
18,4,1,0.033039493864686846,-0.11502516079080774,hit
18,5,0,-0.4033382028953692,-0.15755314340162405,stick
18,5,1,0.09242960065697378,-0.13555664532166778,hit
18,6,0,-0.4145293437137885,-0.05291071838480685,stick
18,6,1,-0.005038160679330113,0.004181600518870565,stick
18,7,0,-0.5201072513621771,0.19737708828566397,stick
18,7,1,-0.043961271360332795,0.41101272892300467,stick
18,8,0,-0.548316520011124,0.01258711089891873,stick
18,8,1,-0.09403715542368282,0.19836294746557076,stick
18,9,0,-0.666026034362745,0.003341903169619867,stick
18,9,1,-0.31066768791383753,-0.32965614943936566,hit
18,10,0,-0.8818021728693135,-0.27445885045364793,stick
18,10,1,-0.16317313634905406,-0.5252019273853307,hit
19,1,0,-0.7297145226256602,0.04194136709720944,stick
19,1,1,-0.363747334210826,-0.11911740168480633,stick
19,2,0,-0.8501980850453894,0.5824287382704744,stick
19,2,1,0.2859690899599489,-0.08218818698957202,hit
19,3,0,-0.892500096555232,0.381093988833873,stick
19,3,1,-0.04870230379826645,0.43894143882254594,stick
19,4,0,-0.5053173722052773,0.39591970566742657,stick
19,4,1,-0.08098597469868891,0.2693514846945615,stick
19,5,0,-0.8332281830033343,0.1406055721729743,stick
19,5,1,0.2701372286350926,-0.10558521,hit
19,6,0,-0.8310098340756039,0.6764593421849717,stick
19,6,1,0.031426664527214404,0.6417431050480373,stick
19,7,0,-0.5284079867884957,0.7102675926556096,stick
19,7,1,0.0503349837966025,-0.014458030999999996,hit
19,8,0,-0.7984417687922717,0.6249366154794521,stick
19,8,1,-0.03158726964046605,0.5088516950417579,stick
19,9,0,-0.6287506733052648,0.3205525349819557,stick
19,9,1,0.21240122917572224,-0.1904353288451494,hit
19,10,0,-0.8547042010853504,0.16019580705802222,stick
19,10,1,-0.1931463797881977,-0.4001755981622236,hit
20,1,0,-0.9061978047257179,0.13387509005534598,stick
20,1,1,-0.1635898197604922,-0.4864192643460921,hit
20,2,0,-0.7929866040053115,0.46364058271335995,stick
20,2,1,0.00832566478694137,0.372675681009351,stick
20,3,0,-0.9272065269228777,0.7605486784069655,stick
20,3,1,0.01962209140325427,0.4872775637272992,stick
20,4,0,-0.9370206873781749,0.7186336200014795,stick
20,4,1,-0.025984608496041648,0.7612157089867173,stick
20,5,0,-0.8172020856718671,0.4540449685796333,stick
20,5,1,-0.10256670322240105,0.6559490228206911,stick
20,6,0,-0.8826243549079633,0.8057493248873587,stick
20,6,1,0.17713099486561812,0.838011747345938,stick
20,7,0,-0.8785708639976748,0.7724226299048854,stick
20,7,1,-0.12171205736240506,0.5290748886356369,stick
20,8,0,-0.9503327106490652,0.7750981481635829,stick
20,8,1,0.03416447662476292,0.6677570810321718,stick
20,9,0,-0.9300821231838032,0.6531908470562054,stick
20,9,1,0.025344259544814646,0.9095732067467165,stick
20,10,0,-0.9945352323720553,0.605890119274658,stick
20,10,1,-0.11612456506781718,0.6037347858941684,stick
21,1,0,-0.8332281830033343,0.7312426823607442,stick
21,1,1,-0.08215978741461365,0.557219725033828,stick
21,2,0,-0.6513215599000001,0.9672151611295952,stick
21,2,1,0.3291418929089656,0.902913224106245,stick
21,3,0,-0.6513215599000001,0.9477951306164499,stick
21,3,1,0.22951458609218356,0.943913414260843,stick
21,4,0,-0.7712320754503901,0.8427883023242837,stick
21,4,1,0.017753832474947766,0.9009654174654944,stick
21,5,0,-0.5217031000000001,0.8483455574922936,stick
21,5,1,0.3968347668856235,0.8319447291954436,stick
21,6,0,-0.6125795110000001,0.9054330954646496,stick
21,6,1,0.23058769709097762,0.8906973510214655,stick
21,7,0,-0.5695327900000001,0.828539027664499,stick
21,7,1,0.110836920901058,0.9846949498928769,stick
21,8,0,-0.814697981114816,0.9985720458336285,stick
21,8,1,0.24333970636143867,0.8496921426800723,stick
21,9,0,-0.8905810108684877,0.9525566425128303,stick
21,9,1,0.312664795496396,0.9538786091862735,stick
21,10,0,-0.997534965295042,0.8782498219393685,stick
21,10,1,0.09437202084005307,0.8817600949211258,stick
