soma_jogador,carta_dealer,as_utilizavel,true_count,q_hit,q_stick,melhor_acao
4,1,0,-2,-0.45723867794630446,-0.4835032178429698,hit
4,1,0,-1,-0.3654632281073129,-0.37894213789813225,hit
4,1,0,0,-0.4361160694395585,-0.5170481815417814,hit
4,1,0,1,-0.3579387071543864,-0.4013726343793671,hit
4,1,0,2,-0.401750031239808,-0.5367087698402466,hit
4,2,0,-2,-0.1209073110764938,-0.19674534564751062,hit
4,2,0,-1,-0.09746293473092761,-0.13596906250000002,hit
4,2,0,0,-0.17753507806840207,-0.43262190795423117,hit
4,2,0,1,-0.13148976399699985,-0.20517085738025062,hit
4,2,0,2,-0.20240265815635738,-0.2426991549167199,hit
4,3,0,-2,-0.10751052533802623,-0.1603483623564127,hit
4,3,0,-1,-0.10160524355745378,-0.13898830598720216,hit
4,3,0,0,-0.17959185268605005,-0.21764458884429763,hit
4,3,0,1,-0.09922040289892693,-0.14241601484375,hit
4,3,0,2,-0.11223949815371012,-0.16396608118267045,hit
4,4,0,-2,-0.08282603216480892,-0.17283678782732648,hit
4,4,0,-1,-0.09393545222771467,-0.142625,hit
4,4,0,0,-0.030612042377667823,-0.11047889530166505,hit
4,4,0,1,-0.10152331029466648,-0.17163118815940764,hit
4,4,0,2,-0.007068139993881869,-0.1873639277070555,hit
4,5,0,-2,-0.0327364758698586,-0.12428461015624997,hit
4,5,0,-1,-0.09656493111180108,-0.1447684375,hit
4,5,0,0,-0.030126556879056247,-0.18345748437499998,hit
4,5,0,1,-0.13712997418182699,-0.16720236287431942,hit
4,5,0,2,-0.026918148566025476,-0.23110946968729865,hit
4,6,0,-2,0.018552005667149603,-0.11610465768370368,hit
4,6,0,-1,0.03956696141627551,-0.048409135802855364,hit
4,6,0,0,0.02117113212590504,-0.09099009366104005,hit
4,6,0,1,0.027805573584286845,-0.043004204872172845,hit
4,6,0,2,-0.03484307704354092,-0.10040173608173975,hit
4,7,0,-2,-0.010320550006825873,-0.11141270390625,hit
4,7,0,-1,-0.048987519793548456,-0.142625,hit
4,7,0,0,-0.12681496813651816,-0.23969284153637052,hit
4,7,0,1,-0.11650345052404788,-0.22021207890625,hit
4,7,0,2,-0.17298952373190918,-0.2794585435183864,hit
4,8,0,-2,-0.15016807462375872,-0.3249061291318685,hit
4,8,0,-1,-0.14119595634768198,-0.17646951708974612,hit
4,8,0,0,-0.1449148365662175,-0.30166270390625005,hit
4,8,0,1,-0.13722686713656554,-0.174658109375,hit
4,8,0,2,-0.15609562678683508,-0.22164924634351002,hit
4,9,0,-2,-0.23374612197893313,-0.2962414012128906,hit
4,9,0,-1,-0.1771714554464074,-0.16977221893242475,stick
4,9,0,0,-0.2808788572147066,-0.28324716285484536,hit
4,9,0,1,-0.230841376905366,-0.2380010127508431,hit
4,9,0,2,-0.21660263139339986,-0.39976621841352517,hit
4,10,0,-2,-0.37172434142504984,-0.5892134418080115,hit
4,10,0,-1,-0.35417417676393126,-0.6682895438154053,hit
4,10,0,0,-0.33535434715099083,-0.4948571104656197,hit
4,10,0,1,-0.30781676294740506,-0.46873023951515796,hit
4,10,0,2,-0.3045943115925616,-0.5639938880998916,hit
5,1,0,-2,-0.45757149671092867,-0.48161103083369694,hit
5,1,0,-1,-0.4694597334567858,-0.5367087698402466,hit
5,1,0,0,-0.4336456771460663,-0.530532351320803,hit
5,1,0,1,-0.44237370978812635,-0.45834765864496385,hit
5,1,0,2,-0.4922088625519295,-0.5504594639600474,hit
5,2,0,-2,-0.06564372169461101,-0.22087447229152002,hit
5,2,0,-1,-0.205550922361651,-0.24157956871093753,hit
5,2,0,0,-0.15627441811036313,-0.3138808909339262,hit
5,2,0,1,-0.21421541701615926,-0.2847795823771283,hit
5,2,0,2,-0.2081454853552425,-0.3157567410005002,hit
5,3,0,-2,-0.09503160178708424,-0.29060687228677196,hit
5,3,0,-1,-0.11305436908408398,-0.143203201547999,hit
5,3,0,0,-0.13945718395243947,-0.17669200981850286,hit
5,3,0,1,-0.05704305931150556,-0.18777504933929243,hit
5,3,0,2,-0.11096924466157033,-0.33827249506712237,hit
5,4,0,-2,-0.09089821920662658,-0.17177544093729577,hit
5,4,0,-1,-0.03827886349941258,-0.03881084417248513,hit
5,4,0,0,-0.05626189554636564,-0.19705557494813408,hit
5,4,0,1,-0.09012557980558882,-0.1549218031781275,hit
5,4,0,2,-0.07492225859559667,-0.19372264488853752,hit
5,5,0,-2,-0.05593924459054582,-0.18801627162317952,hit
5,5,0,-1,-0.024498727373712566,-0.05486539708383533,hit
5,5,0,0,-0.08741271263681888,-0.11177142236324078,hit
5,5,0,1,-0.06971570757985764,-0.19578057801653104,hit
5,5,0,2,-0.14226706900527172,-0.19188135875870727,hit
5,6,0,-2,0.015948119872969763,-0.1459427697811,hit
5,6,0,-1,0.05968156445417728,-0.18753001562500002,hit
5,6,0,0,-0.0031558907863646016,-0.04273131893984879,hit
5,6,0,1,0.002411915878811177,-0.1439982153864855,hit
5,6,0,2,0.029123998935194104,-0.16130064646988063,hit
5,7,0,-2,-0.1525154735715517,-0.5035557329145773,hit
5,7,0,-1,-0.12767842584511924,-0.36975059027539064,hit
5,7,0,0,-0.14190213372858673,-0.3708300609530088,hit
5,7,0,1,-0.14798884297295656,-0.36195204234210626,hit
5,7,0,2,-0.2291590326151327,-0.3836387341891333,hit
5,8,0,-2,-0.20336416892841658,-0.3317556451927747,hit
5,8,0,-1,-0.1661044590729429,-0.32346413959908177,hit
5,8,0,0,-0.16281415030029195,-0.554834485757712,hit
5,8,0,1,-0.243936778862461,-0.30304786920845683,hit
5,8,0,2,-0.15705333911036012,-0.4996458290360076,hit
5,9,0,-2,-0.21338762465383845,-0.6378886862691528,hit
5,9,0,-1,-0.2163709580689886,-0.2791203645946338,hit
5,9,0,0,-0.20456335669163886,-0.5926149896449247,hit
5,9,0,1,-0.28454160161069875,-0.34877255274901864,hit
5,9,0,2,-0.24534117021973073,-0.37783830443626326,hit
5,10,0,-2,-0.35866212549335,-0.511755368304115,hit
5,10,0,-1,-0.37609146753402234,-0.6630849449162631,hit
5,10,0,0,-0.3532652630156046,-0.6609733635644433,hit
5,10,0,1,-0.40786662057033585,-0.4583382447785018,hit
5,10,0,2,-0.35547621660586515,-0.5718491677731418,hit
6,1,0,-2,-0.4975209403078916,-0.6343343199525743,hit
6,1,0,-1,-0.507833285294112,-0.5962185367772134,hit
6,1,0,0,-0.5247911962671495,-0.586739110265773,hit
6,1,0,1,-0.4188007845092595,-0.7141907650835962,hit
6,1,0,2,-0.5207353683525557,-0.6350020533331238,hit
6,2,0,-2,-0.20083190975198978,-0.38506277337085304,hit
6,2,0,-1,-0.1023786108885123,-0.23648270957887366,hit
6,2,0,0,-0.22478640537285569,-0.11748767127382004,stick
6,2,0,1,-0.21731264830022898,-0.4035405770443308,hit
6,2,0,2,-0.16700626896725645,-0.4570853420964138,hit
6,3,0,-2,-0.22060642842301248,-0.4004407234852318,hit
6,3,0,-1,-0.18000875806603894,-0.24718145686208684,hit
6,3,0,0,-0.10305567625834369,-0.3752971043244838,hit
6,3,0,1,-0.059139432221713584,-0.25310029314919436,hit
6,3,0,2,-0.005360224193812779,-0.28387078484243206,hit
6,4,0,-2,-0.09745601549937788,-0.2134881222215501,hit
6,4,0,-1,-0.14418907294130792,-0.2690315189822136,hit
6,4,0,0,-0.07994729530563657,-0.11793334955120202,hit
6,4,0,1,-0.13435041027824698,-0.19798522657976214,hit
6,4,0,2,-0.07273663537227769,-0.2333150146608117,hit
6,5,0,-2,-0.07597815814269898,-0.12284590366439421,hit
6,5,0,-1,-0.03138482497355734,-0.10698812282351702,hit
6,5,0,0,-0.10387124473297871,-0.21020690136041442,hit
6,5,0,1,-0.10202432053911978,-0.21994549026825583,hit
6,5,0,2,-0.07929465451370234,-0.21904648729541842,hit
6,6,0,-2,0.019516947267041528,-0.27248346458287714,hit
6,6,0,-1,0.018115634935689164,-0.16940162482063092,hit
6,6,0,0,0.030201286738770705,-0.33312391736809627,hit
6,6,0,1,0.0022645304839344453,-0.21428253145240062,hit
6,6,0,2,-0.08609765390176799,-0.2920524845691233,hit
6,7,0,-2,-0.0674567895299837,-0.34247642553548835,hit
6,7,0,-1,-0.09918131105206188,-0.1890392018659573,hit
6,7,0,0,-0.23510543810111403,-0.44163476447563693,hit
6,7,0,1,-0.22431784848242697,-0.39901351447835454,hit
6,7,0,2,-0.10814720949485218,-0.5347561393939869,hit
6,8,0,-2,-0.22854619142884264,-0.3919683419797696,hit
6,8,0,-1,-0.2152291237957074,-0.37954018755651964,hit
6,8,0,0,-0.2352053204418302,-0.49266832047873843,hit
6,8,0,1,-0.15192597550520714,-0.37751657403140065,hit
6,8,0,2,-0.20284699915574442,-0.4265296483767078,hit
6,9,0,-2,-0.24039964602210676,-0.572738182074869,hit
6,9,0,-1,-0.3222256692992603,-0.48794127192869363,hit
6,9,0,0,-0.29689324132519307,-0.4441608363273267,hit
6,9,0,1,-0.208768457569003,-0.35554178625966704,hit
6,9,0,2,-0.28221846002487067,-0.45250575091265827,hit
6,10,0,-2,-0.36977794393701385,-0.6449540232571204,hit
6,10,0,-1,-0.37992682752842,-0.5406297311735482,hit
6,10,0,0,-0.47721299108607806,-0.5191096700945282,hit
6,10,0,1,-0.39057098179715544,-0.3961181360344192,hit
6,10,0,2,-0.3390820379507073,-0.5393820268386829,hit
7,1,0,-2,-0.5965604252697126,-0.633097655374794,hit
7,1,0,-1,-0.5034466975662096,-0.564667745670353,hit
7,1,0,0,-0.5752085640661859,-0.6360173328509263,hit
7,1,0,1,-0.48061894820279594,-0.6290288059591728,hit
7,1,0,2,-0.44892005027411275,-0.6746046435946245,hit
7,2,0,-2,-0.17744412126848666,-0.2514352502315543,hit
7,2,0,-1,-0.14208876538416337,-0.22445482987217286,hit
7,2,0,0,-0.0879249508251834,-0.2076305848354039,hit
7,2,0,1,-0.15462632733345263,-0.24407509072229272,hit
7,2,0,2,-0.18368123761220903,-0.264733941998901,hit
7,3,0,-2,-0.08013307453231297,-0.37352882343560717,hit
7,3,0,-1,-0.09883037511222985,-0.15766867366739257,hit
7,3,0,0,-0.13070880775676394,-0.35121004952336815,hit
7,3,0,1,-0.044769122364483396,-0.43863499294499325,hit
7,3,0,2,-0.09209990209441964,-0.36336471021289624,hit
7,4,0,-2,-0.09913027631843095,-0.19403194211078728,hit
7,4,0,-1,-0.07896005846967119,-0.204459220609889,hit
7,4,0,0,-0.013516891017583604,-0.18653396794462024,hit
7,4,0,1,-0.08461469083244177,-0.3722813315131121,hit
7,4,0,2,0.02036851905813761,-0.3576263645826869,hit
7,5,0,-2,-0.054377736238278046,-0.06885671945493696,hit
7,5,0,-1,0.033252052347574695,-0.22542150289056045,hit
7,5,0,0,0.036266004111638925,-0.04470636022346086,hit
7,5,0,1,-0.07122977638239573,-0.4166919928477582,hit
7,5,0,2,-0.041434192026619146,-0.10977724840716227,hit
7,6,0,-2,0.037734105553674416,-0.20719531380417866,hit
7,6,0,-1,0.041526857951516595,-0.1351328105790064,hit
7,6,0,0,0.059159146906584116,-0.042736068407786515,hit
7,6,0,1,0.14912692289303167,-0.299063705043228,hit
7,6,0,2,0.02697912643109569,-0.3414125960965292,hit
7,7,0,-2,-0.12127772725014069,-0.4343421066021277,hit
7,7,0,-1,-0.06222669345086634,-0.5232699237169214,hit
7,7,0,0,-0.057779618310974,-0.40652432079343814,hit
7,7,0,1,-0.07100322064425105,-0.4718542687714429,hit
7,7,0,2,-0.18751830268837766,-0.3837390474905085,hit
7,8,0,-2,-0.26967879647074106,-0.5525204432579958,hit
7,8,0,-1,-0.2146923567524868,-0.35431564983240915,hit
7,8,0,0,-0.27732284552090436,-0.5547840010628473,hit
7,8,0,1,-0.18990368073693686,-0.4539506169980828,hit
7,8,0,2,-0.2254373226202651,-0.38261919035287273,hit
7,9,0,-2,-0.34597376184095774,-0.4927877011191004,hit
7,9,0,-1,-0.38220554994151196,-0.38978772688285646,hit
7,9,0,0,-0.2416725363452842,-0.45589170538283114,hit
7,9,0,1,-0.3013161112758666,-0.4800121781459561,hit
7,9,0,2,-0.2519506792070309,-0.5871087209444732,hit
7,10,0,-2,-0.3939355575386483,-0.6985583446105661,hit
7,10,0,-1,-0.44098581520735475,-0.5631790339683512,hit
7,10,0,0,-0.40187076998156884,-0.5011016369528228,hit
7,10,0,1,-0.4339234489401243,-0.42824831524949947,stick
7,10,0,2,-0.263894666676452,-0.718498675887806,hit
8,1,0,-2,-0.416076718372223,-0.8122182382229273,hit
8,1,0,-1,-0.49726459047969496,-0.5354695319629188,hit
8,1,0,0,-0.46457011075644306,-0.6866503077955859,hit
8,1,0,1,-0.3963088170850253,-0.7546255492845602,hit
8,1,0,2,-0.33502409793160776,-0.8142093303518759,hit
8,2,0,-2,-0.01816166535548016,-0.14124751527425294,hit
8,2,0,-1,-0.07915157126448702,-0.26588838208966015,hit
8,2,0,0,-0.0011109953327135711,-0.5883272170332831,hit
8,2,0,1,-0.0441135928034864,-0.2406002055512167,hit
8,2,0,2,-0.0014598253124338233,-0.36463293023974963,hit
8,3,0,-2,-0.1240359161276533,-0.3408891249384601,hit
8,3,0,-1,0.01846912951978568,-0.3695384024318776,hit
8,3,0,0,-0.03440686962478729,-0.4576128683982433,hit
8,3,0,1,0.04181332362296523,-0.5102114743923395,hit
8,3,0,2,0.006070129276711297,-0.3766229148397142,hit
8,4,0,-2,-0.0562346664251727,-0.24754559268399723,hit
8,4,0,-1,-0.05119516716189748,-0.12796464280537231,hit
8,4,0,0,0.08964460905850273,-0.055204673544041516,hit
8,4,0,1,-0.014225932704035686,-0.37453399243839897,hit
8,4,0,2,0.04682775133001434,-0.18505513562056794,hit
8,5,0,-2,-0.05714580287978814,-0.07810013840330708,hit
8,5,0,-1,0.153639911097057,-0.12427800317541204,hit
8,5,0,0,0.1454362200381081,-0.2879957100632104,hit
8,5,0,1,0.07548141458457373,-0.2478379207697516,hit
8,5,0,2,0.049316554572682816,-0.1438991063871817,hit
8,6,0,-2,0.125988559458533,-0.2740573245243376,hit
8,6,0,-1,0.17029158138589884,-0.07411545075211141,hit
8,6,0,0,0.16716925191783388,0.044449615988778404,hit
8,6,0,1,0.18454522140757734,-0.2795706104166382,hit
8,6,0,2,0.17482219620841663,-0.31989905301640387,hit
8,7,0,-2,-0.024797086270112515,-0.4165529513560846,hit
8,7,0,-1,0.12886126839752965,-0.1448856694441878,hit
8,7,0,0,0.03411472557583966,-0.43646394749872136,hit
8,7,0,1,0.1573321131744455,-0.405568259175166,hit
8,7,0,2,0.09932009964811583,-0.48348009463713076,hit
8,8,0,-2,-0.022866602061167744,-0.69354171763995,hit
8,8,0,-1,-0.17258829084514796,-0.28134794962612125,hit
8,8,0,0,-0.08372059945232861,-0.5651518754656704,hit
8,8,0,1,-0.0984670166897463,-0.3611405868721138,hit
8,8,0,2,0.03132271554095714,-0.558383761892154,hit
8,9,0,-2,-0.16679700860433283,-0.634683042360405,hit
8,9,0,-1,-0.2253077679887346,-0.3452619974411309,hit
8,9,0,0,-0.23281279224305984,-0.5021341992488388,hit
8,9,0,1,-0.1040073400844064,-0.5743188947783089,hit
8,9,0,2,-0.11856778627500283,-0.4024542158051039,hit
8,10,0,-2,-0.4037273096953765,-0.7663120285917424,hit
8,10,0,-1,-0.3053859631826795,-0.5875793666561412,hit
8,10,0,0,-0.25359997131826456,-0.7023487562106534,hit
8,10,0,1,-0.30882379713214214,-0.5227279796235702,hit
8,10,0,2,-0.3238908168487439,-0.7037053628100441,hit
9,1,0,-2,-0.3929062306585859,-0.7897388885965626,hit
9,1,0,-1,-0.3926258683143402,-0.6762484988383173,hit
9,1,0,0,-0.2745880756972505,-0.7565024296579337,hit
9,1,0,1,-0.2817183293787924,-0.6266112623734561,hit
9,1,0,2,-0.2616498354275951,-0.7625489588589042,hit
9,2,0,-2,-0.05428423580985368,-0.33514848410442544,hit
9,2,0,-1,0.13395236431746985,-0.07655707143764728,hit
9,2,0,0,0.12285238204353595,-0.21145944136364078,hit
9,2,0,1,-0.03856703252073341,-0.4803738617576897,hit
9,2,0,2,-0.01124150775135662,-0.47682926041039453,hit
9,3,0,-2,0.1702780438115206,-0.19312033226057415,hit
9,3,0,-1,-0.026918692255568637,-0.029050371454401668,hit
9,3,0,0,0.09233887346018249,-0.44515336323964694,hit
9,3,0,1,0.06918240437438375,-0.24217114245274873,hit
9,3,0,2,0.1301685637012468,-0.03426393357621283,hit
9,4,0,-2,0.04168690942322576,-0.10391302226608193,hit
9,4,0,-1,0.15533255373595878,-0.3151199098027472,hit
9,4,0,0,0.13061936525611745,-0.5922076209961618,hit
9,4,0,1,0.07756132450619416,-0.17806974486264232,hit
9,4,0,2,0.1423062224055454,-0.09617803342184053,hit
9,5,0,-2,0.13773346649103121,-0.1945885168564242,hit
9,5,0,-1,0.2844173745630498,-0.05640430853579947,hit
9,5,0,0,0.19738608957508555,-0.06809074167871317,hit
9,5,0,1,0.20681765089287932,-0.2434903053956753,hit
9,5,0,2,0.22998692110907681,-0.434574211000779,hit
9,6,0,-2,0.1712124953670998,-0.20925520534696884,hit
9,6,0,-1,0.2131765764468198,-0.024011275784176105,hit
9,6,0,0,0.3007731332048716,-0.23515606159846855,hit
9,6,0,1,0.12523291209658863,-0.05028891338526729,hit
9,6,0,2,0.2028222029615302,0.02894886744478265,hit
9,7,0,-2,0.17238022660420027,-0.3650394462757296,hit
9,7,0,-1,0.07283408249423452,-0.44467474586120365,hit
9,7,0,0,0.21118136383507097,-0.3510858870961736,hit
9,7,0,1,0.14568946803769778,-0.5104852473299437,hit
9,7,0,2,0.2154215032777346,-0.48541025904844187,hit
9,8,0,-2,-0.07642024672754279,-0.5188903567935513,hit
9,8,0,-1,0.0959481774852233,-0.6328863223359465,hit
9,8,0,0,0.02493929281113281,-0.6789434903669608,hit
9,8,0,1,0.11521706504807704,-0.6258341551637563,hit
9,8,0,2,0.14909143397974145,-0.32442886986790953,hit
9,9,0,-2,-0.12349448642329627,-0.5687904787679916,hit
9,9,0,-1,-0.021013575116652222,-0.442857382567666,hit
9,9,0,0,-0.03372541075474167,-0.3603924401752742,hit
9,9,0,1,-0.014872510863403009,-0.673920391227909,hit
9,9,0,2,0.014539846492414903,-0.5387021092073638,hit
9,10,0,-2,-0.34349695947365344,-0.5588322174851991,hit
9,10,0,-1,-0.3268760897874453,-0.7246570869044854,hit
9,10,0,0,-0.24539571527681078,-0.6751155264571933,hit
9,10,0,1,-0.304038687689251,-0.6469586902629999,hit
9,10,0,2,-0.11033219633939674,-0.8265439569928055,hit
10,1,0,-2,-0.19562452858133017,-0.8453233760597486,hit
10,1,0,-1,-0.25006334998040636,-0.7815327788137464,hit
10,1,0,0,-0.22317935444807346,-0.8817138760453651,hit
10,1,0,1,-0.21853506874956705,-0.6211844774018559,hit
10,1,0,2,-0.1197454135628987,-0.6945766556558395,hit
10,2,0,-2,0.09855568794886826,-0.3745114925747454,hit
10,2,0,-1,0.349284133723567,-0.37563559892873055,hit
10,2,0,0,0.31153545688401324,-0.34236603763738904,hit
10,2,0,1,0.21769733173104192,-0.3495800369585819,hit
10,2,0,2,0.2672898104995019,-0.21699745986831723,hit
10,3,0,-2,0.1321215936447044,-0.3227476966255541,hit
10,3,0,-1,0.09597738173128106,-0.17475052210650535,hit
10,3,0,0,0.24374199893335435,-0.3344353166035359,hit
10,3,0,1,0.10493516502633218,-0.1636612571992278,hit
10,3,0,2,0.23779183719435243,-0.2782441722642371,hit
10,4,0,-2,0.12331742508336072,-0.349176875230257,hit
10,4,0,-1,0.2313997584359794,-0.06091627633008934,hit
10,4,0,0,0.25407722025154666,-0.16351611827973797,hit
10,4,0,1,0.29553979766437055,0.04149372869857607,hit
10,4,0,2,0.3498781748879804,-0.2275554214581841,hit
10,5,0,-2,0.14625030986963972,-0.10539701484178673,hit
10,5,0,-1,0.2193667586294923,-0.21627857579060217,hit
10,5,0,0,0.21300993799640447,0.11726484340584607,hit
10,5,0,1,0.20925479474255196,-0.06510677331271579,hit
10,5,0,2,0.3744650573491373,0.08995372497846471,hit
10,6,0,-2,0.13491659206263004,-0.1462326285232762,hit
10,6,0,-1,0.3150642900168903,-0.2251662681638255,hit
10,6,0,0,0.3506940116310442,0.06230470281630851,hit
10,6,0,1,0.3011280167160217,-0.026593058098451895,hit
10,6,0,2,0.38192141947069125,-0.002545561050136487,hit
10,7,0,-2,0.1665271630840565,-0.3306374859912542,hit
10,7,0,-1,0.37986084785932756,-0.41764450619068044,hit
10,7,0,0,0.15331605264610204,-0.46361140279779955,hit
10,7,0,1,0.35377105982290735,-0.2859090522451984,hit
10,7,0,2,0.19021021110175837,-0.571118612318609,hit
10,8,0,-2,0.21784073933318446,-0.7969542241034467,hit
10,8,0,-1,0.16857080312165368,-0.4986935710471358,hit
10,8,0,0,0.1753727235803204,-0.3876835282359343,hit
10,8,0,1,0.18981637561306808,-0.6378095224572642,hit
10,8,0,2,0.0772602470309803,-0.4854161316333896,hit
10,9,0,-2,0.16243727199418678,-0.6475441111626035,hit
10,9,0,-1,0.18798673927696985,-0.48912904382277195,hit
10,9,0,0,0.1501929569858131,-0.4166575697247291,hit
10,9,0,1,0.1343117648841278,-0.23414181481556248,hit
10,9,0,2,0.20470097592764191,-0.5814282162019037,hit
10,10,0,-2,-0.07699103888177979,-0.46952014335431513,hit
10,10,0,-1,-0.07459668991898634,-0.725399460414783,hit
10,10,0,0,-0.1395993895009998,-0.6371409107792062,hit
10,10,0,1,-0.08280095212734523,-0.5155270993338973,hit
10,10,0,2,0.17995441592775197,-0.5095356188259039,hit
11,1,0,-2,-0.112260880713907,-0.7105342451527008,hit
11,1,0,-1,0.0581861940835983,-0.6939416268176344,hit
11,1,0,0,-0.15988202513049582,-0.7404916395650885,hit
11,1,0,1,-0.06944290595379182,-0.7616397490475556,hit
